food_id,product,url_used,serving_desc,serving_g,active_form,elemental_claim,other_ingredients,coa_url,fetched_date,notes
10003,"NOW Taurine Pure Powder (8 oz, ASIN B000BQSQ68)",https://dailyvita.com/products/now-foods-taurine-pure-powder-8-oz ; https://www.swansonvitamins.com/p/now-foods-taurine-powder-8-oz-pwdr,1/4 level tsp (approx. 1 g),1.0,Taurine (Free-Form),Taurine 1000 mg/serving,None.,https://cofa.nowfoods.com/ (lot-gated),2026-08-07,DB matches label exactly; 4 g/tsp is nominal ('approx. 1 g' per 1/4 tsp). Fully organic -> ash ~0.
10004,"NOW Calcium Carbonate Pure Powder (12 oz, SKU 1245, ASIN B004421K68)",https://www.swansonvitamins.com/p/now-foods-calcium-carbonate-12-oz-pwdr ; https://advsupplements.com/products/now-foods-calcium-carbonate-pure-powder-12oz-340g,1/2 level tsp (1.7 g),1.7,"Calcium (elemental) (from 1,700 mg Calcium Carbonate)",Ca 600 mg/serving,None.,https://cofa.nowfoods.com/ (lot-gated),2026-08-07,"Label states serving = 1,700 mg CaCO3 -> 100% CaCO3; Ca 600 mg is down-rounded (theoretical 681). Older label era exists (1 tsp serving) but same 600 mg/1.7 g density."
10006,"Rx Vitamins for Pets - Rx Essentials for Cats (4 oz / 113.4 g, ASIN B0F43P71HH)",https://cdn.shopify.com/s/files/1/0631/3433/5135/files/Rx_Essentials_Cats_SS.pdf?v=1713463868 ; https://cdn.shopify.com/s/files/1/0631/3433/5135/files/8515_Rx_Essentials_for_Cats_CE.pdf?v=1713463964 ; https://drjudymorgan.com/products/rx-essentials-cat ; https://hardypaw.com/products/rx-vitamins-rx-essentials-for-cats-4-oz,"1/2 teaspoon (mass NOT stated by manufacturer; ~2.52 g by jar count 113.4 g/45 scoops, retailer-sourced; one retailer claims 4 g)",~2.52 (UNVERIFIED-CONFLICTING),Ca/K/Mg citrates; Zn picolinate; selenomethionine; Ca pantothenate; niacinamide; pyridoxine HCl; ergocalciferol (D2); d-alpha tocopheryl succinate; A palmitate; cyanocobalamin,"per 1/2 tsp: Ca 25 mg, K 20 mg, Mg 1.75 mg, Zn 1 mg, Se 1 ug, A 250 IU, D2 50 IU, E 5 IU, B1 2 mg, B2 2 mg, pantothenate 5 mg, niacinamide 2 mg, B6 2 mg, folic 2 ug, biotin 2 ug, B12 2 ug, taurine 50 mg, vit C 20 mg, spirulina 25 mg, milk thistle 10 mg, GLA 5 mg, L-methionine 5 mg, PABA 1 mg, kelp 25 ug","Deck (retailer order, manufacturer publishes none): Unrefined Molasses Crystals, Defatted/Desiccated Beef Liver, Maltodextrin, Calcium Citrate, L-Taurine, Borage Oil, Potassium Citrate, Spirulina, Vitamin C, Milk Thistle, Magnesium Citrate, Calcium Pantothenate, L-Methionine, D-Alpha Tocopheryl Succinate, Zinc Picolinate, Pyridoxine HCl, Thiamine HCl, Riboflavin, Niacinamide, Vitamin A Palmitate, PABA, Cyanocobalamin, Biotin, Selenomethionine, Vitamin D (Ergocalciferol), Kelp, Chicory Root Extract, Folic Acid",none (NASC seal only),2026-08-07,"BUG 0.5: DB books these amounts per 1 tsp = 4 g; manufacturer says per 1/2 tsp. DB also missing label items (vit C, PABA, spirulina, milk thistle, GLA, kelp-iodine) and calls niacinamide 'niacin', D2 'vitamin D'."
10008,Homemade KI stock solution (no label; user-made),n/a,1 mL,1.0,Potassium iodide in water,I 765 ug/mL (user formulation),Distilled water,n/a,2026-08-07,No label; composition from user formulation records + stoichiometry.
10011,"Pure Encapsulations Manganese (aspartate/citrate) (60 caps, ASIN B000H6UM2S)",https://supplementfirst.com/products/pure-encapsulations-manganese-aspartate-citrate ; https://pinestreetclinic.com/products/pure-encapsulations-manganese-aspartate-citrate,1 vegetarian capsule,"0.1662 (DB, label-unverified)",Manganese (as manganese aspartate and 50% as manganese citrate),Mn 8 mg/capsule,"Hypoallergenic plant fiber (cellulose), vegetarian capsule (cellulose, water)",none public (by-request),2026-08-07,"Dual salt form (aspartate/citrate), not single-salt; residue depends only on Mn -> ash calc unaffected. Cellulose-only excipients."
10015,"NOW Vitamin E Liquid (1 fl oz, SKU 0910, ASIN B001F0QW9M)",https://www.nowfoods.com/products/supplements/vitamin-e-liquid,6 drops (0.2 mL),"0.0315/drop (DB, density-derived, label-unverified)","Vitamin E (as d-alpha Tocopherol), from non-GMO soy",60 mg (90 IU) per 6 drops = 14.9 IU/drop,Organic Extra Virgin Olive Oil,https://cofa.nowfoods.com/ (lot-gated),2026-08-07,Pure oil system -> ash ~0. DB IU/drop consistent with label.
10022,"NOW Iron 18 mg Veg Capsules (SKU 1443, ASIN B000WQDD2O)",https://www.nowfoods.com/products/supplements/iron-18-mg-veg-capsules,1 veg capsule,"0.3984 (DB, label-unverified)",Iron (elemental) (from 90 mg Ferrous Bisglycinate) (Ferrochel),Fe 18 mg/capsule,"Rice Flour, Hypromellose (cellulose capsule), Stearic Acid (vegetable source) and Silicon Dioxide",https://cofa.nowfoods.com/ (lot-gated),2026-08-07,Ferrochel confirmed (18/90 = 20% Fe). SiO2 present -> counts fully toward ash.
10023,"Pure Encapsulations Copper (glycinate) (60 caps, ASIN B000H7Y6J2)",https://supplementfirst.com/products/pure-encapsulations-copper-glycinate ; https://pinestreetclinic.com/products/pure-encapsulations-copper-glycinate-60-capsules,1 vegetarian capsule,"0.1510 (DB, label-unverified)",Copper (as copper glycinate),Cu 2 mg/capsule,"Hypoallergenic plant fiber (cellulose), vegetarian capsule (cellulose, water)",none public (by-request),2026-08-07,Cellulose-only excipients (no SiO2).
10024,"BulkSupplements Zinc Gluconate Powder (ASIN B00GW1C4DW, SKU X000IXPXHP)",https://dsld.od.nih.gov/label/311924 ; https://wholesale.bulksupplements.com/products/zinc-gluconate-powder,285 mg,0.285,"Zinc (as Zinc Gluconate); assay NLT 90% zinc gluconate, NLT 12.3% Zn",Zn 40 mg/serving (14.0%),None,by request: https://bulksupplements.com/pages/coa-request,2026-08-07,NIH DSLD label record; pure powder confirmed.
10025,"Morton Iodized Table Salt (26 oz, UPC 0024600010030)",https://www.mortonsalt.com/article/morton-iodized-table-salt-nutritional-facts/ ; https://world.openfoodfacts.org/product/0024600010030 ; https://www.mortonsalt.com/faq/,1/4 tsp (1.5 g),1.5,NaCl + KI (iodide stabilized with dextrose),Na 590 mg/serving; iodine 45% DV (~67.5 ug),"salt, calcium silicate, dextrose, potassium iodide (order verbatim); Morton FAQ: calcium silicate <0.5%, dextrose 0.04%",none,2026-08-07,Matches DB exactly (post Phase 0.1 fix).
